disease	predictor	samples	test	case	control	OddsRatio	low	high	p.value	cohort
Myocardial infarction	PGS000828_WC#	matched	case-control	46	46	0.851	0.54	1.328	0.48	ATTRaCT women
Myocardial infarction	PGS001227_WC#	matched	case-control	46	46	1.218	0.775	1.945	0.396	ATTRaCT women
Myocardial infarction	PGS000661_LDL	matched	case-control	46	46	1.284	0.879	1.91	0.203	ATTRaCT women
Myocardial infarction	PGS000891_LDL	matched	case-control	46	46	1.167	0.785	1.758	0.448	ATTRaCT women
Myocardial infarction	PGS000660_HDL	matched	case-control	46	46	0.671	0.426	1.03	0.0746	ATTRaCT women
Myocardial infarction	PGS000686_HDL#	matched	case-control	46	46	0.761	0.484	1.158	0.213	ATTRaCT women
Myocardial infarction	PGS000659_TG	matched	case-control	46	46	0.812	0.512	1.27	0.365	ATTRaCT women
Myocardial infarction	PGS000699_TG#	matched	case-control	46	46	0.942	0.611	1.446	0.783	ATTRaCT women
Myocardial infarction	PGS000306_GLU#	matched	case-control	46	46	1.237	0.746	2.088	0.413	ATTRaCT women
Myocardial infarction	PGS000684_GLU#	matched	case-control	46	46	0.87	0.544	1.372	0.55	ATTRaCT women
Myocardial infarction	PGS000685_HbA1c#	matched	case-control	46	46	1.522	0.955	2.498	0.0842	ATTRaCT women
Myocardial infarction	PGS001133_DBP#	matched	case-control	46	46	1.27	0.847	1.947	0.255	ATTRaCT women
Myocardial infarction	PGS000302_DBP#	matched	case-control	46	46	0.965	0.664	1.398	0.851	ATTRaCT women
Myocardial infarction	PGS000301_SBP#	matched	case-control	46	46	0.804	0.549	1.157	0.247	ATTRaCT women
Myocardial infarction	PGS001134_SBP#	matched	case-control	46	46	1.006	0.697	1.452	0.976	ATTRaCT women
Hypertension	GenMetS	matched	case-control	349	349	1.436	1.225	1.692	1.09e-05	ATTRaCT women
Hypertension	PGS000828_WC#	matched	case-control	349	349	1.097	0.948	1.27	0.216	ATTRaCT women
Hypertension	PGS001227_WC#	matched	case-control	349	349	1.286	1.106	1.499	0.0012	ATTRaCT women
Hypertension	PGS000661_LDL	matched	case-control	349	349	0.898	0.775	1.039	0.15	ATTRaCT women
Hypertension	PGS000891_LDL	matched	case-control	349	349	0.943	0.812	1.093	0.436	ATTRaCT women
Hypertension	PGS000660_HDL	matched	case-control	349	349	1.227	1.058	1.426	0.00713	ATTRaCT women
Hypertension	PGS000686_HDL#	matched	case-control	349	349	1.012	0.876	1.17	0.868	ATTRaCT women
Hypertension	PGS000659_TG	matched	case-control	349	349	1.014	0.875	1.176	0.853	ATTRaCT women
Hypertension	PGS000699_TG#	matched	case-control	349	349	0.971	0.837	1.125	0.692	ATTRaCT women
Hypertension	PGS000306_GLU#	matched	case-control	349	349	1.026	0.884	1.192	0.732	ATTRaCT women
Hypertension	PGS000684_GLU#	matched	case-control	349	349	0.952	0.82	1.104	0.513	ATTRaCT women
Hypertension	PGS000685_HbA1c#	matched	case-control	349	349	0.965	0.829	1.124	0.65	ATTRaCT women
Hypertension	PGS001133_DBP#	matched	case-control	349	349	1.168	1.007	1.356	0.0407	ATTRaCT women
Hypertension	PGS000302_DBP#	matched	case-control	349	349	1.107	0.954	1.286	0.181	ATTRaCT women
Hypertension	PGS000301_SBP#	matched	case-control	349	349	1.339	1.149	1.565	0.000211	ATTRaCT women
Hypertension	PGS001134_SBP#	matched	case-control	349	349	1.394	1.197	1.629	2.34e-05	ATTRaCT women
Type 2 diabetes	GenMetS	matched	case-control	535	535	1.46	1.292	1.655	1.89e-09	ATTRaCT men
Type 2 diabetes	PGS000828_WC#	matched	case-control	535	535	1.115	0.99	1.257	0.0743	ATTRaCT men
Type 2 diabetes	PGS001227_WC#	matched	case-control	535	535	1.208	1.069	1.367	0.00255	ATTRaCT men
Type 2 diabetes	PGS000661_LDL	matched	case-control	535	535	0.946	0.84	1.064	0.356	ATTRaCT men
Type 2 diabetes	PGS000891_LDL	matched	case-control	535	535	1.062	0.943	1.197	0.323	ATTRaCT men
Type 2 diabetes	PGS000660_HDL	matched	case-control	535	535	1.075	0.954	1.213	0.237	ATTRaCT men
Type 2 diabetes	PGS000686_HDL#	matched	case-control	535	535	1.001	0.887	1.129	0.99	ATTRaCT men
Type 2 diabetes	PGS000659_TG	matched	case-control	535	535	1.081	0.959	1.219	0.204	ATTRaCT men
Type 2 diabetes	PGS000699_TG#	matched	case-control	535	535	0.95	0.843	1.07	0.398	ATTRaCT men
Type 2 diabetes	PGS000306_GLU#	matched	case-control	535	535	1.138	1.009	1.285	0.0361	ATTRaCT men
Type 2 diabetes	PGS000684_GLU#	matched	case-control	535	535	1.139	1.009	1.288	0.0355	ATTRaCT men
Type 2 diabetes	PGS000685_HbA1c#	matched	case-control	535	535	1.223	1.082	1.385	0.00134	ATTRaCT men
Type 2 diabetes	PGS001133_DBP#	matched	case-control	535	535	0.954	0.845	1.075	0.439	ATTRaCT men
Type 2 diabetes	PGS000302_DBP#	matched	case-control	535	535	0.9	0.798	1.014	0.0848	ATTRaCT men
Type 2 diabetes	PGS000301_SBP#	matched	case-control	535	535	1.002	0.888	1.131	0.974	ATTRaCT men
Type 2 diabetes	PGS001134_SBP#	matched	case-control	535	535	1.014	0.899	1.143	0.825	ATTRaCT men
Stroke	GenMetS	matched	case-control	105	105	1.352	1.046	1.769	0.0235	ATTRaCT men
Stroke	PGS000828_WC#	matched	case-control	105	105	1.019	0.802	1.296	0.877	ATTRaCT men
Stroke	PGS001227_WC#	matched	case-control	105	105	0.834	0.63	1.097	0.197	ATTRaCT men
Stroke	PGS000661_LDL	matched	case-control	105	105	0.971	0.747	1.26	0.823	ATTRaCT men
Stroke	PGS000891_LDL	matched	case-control	105	105	1.037	0.789	1.367	0.793	ATTRaCT men
Stroke	PGS000660_HDL	matched	case-control	105	105	0.924	0.702	1.213	0.567	ATTRaCT men
Stroke	PGS000686_HDL#	matched	case-control	105	105	1.188	0.882	1.609	0.26	ATTRaCT men
Stroke	PGS000659_TG	matched	case-control	105	105	1.171	0.889	1.551	0.264	ATTRaCT men
Stroke	PGS000699_TG#	matched	case-control	105	105	0.907	0.694	1.182	0.471	ATTRaCT men
Stroke	PGS000306_GLU#	matched	case-control	105	105	0.788	0.578	1.064	0.124	ATTRaCT men
Stroke	PGS000684_GLU#	matched	case-control	105	105	1.123	0.859	1.474	0.397	ATTRaCT men
Stroke	PGS000685_HbA1c#	matched	case-control	105	105	0.718	0.531	0.958	0.0274	ATTRaCT men
Stroke	PGS001133_DBP#	matched	case-control	105	105	0.98	0.746	1.287	0.885	ATTRaCT men
Stroke	PGS000302_DBP#	matched	case-control	105	105	1.141	0.885	1.478	0.312	ATTRaCT men
Stroke	PGS000301_SBP#	matched	case-control	105	105	1.002	0.769	1.304	0.989	ATTRaCT men
Stroke	PGS001134_SBP#	matched	case-control	105	105	1.149	0.862	1.54	0.346	ATTRaCT men
Heart failure	GenMetS	matched	case-control	480	480	1.328	1.162	1.523	3.72e-05	ATTRaCT men
Heart failure	PGS000828_WC#	matched	case-control	480	480	1.108	0.974	1.262	0.121	ATTRaCT men
Heart failure	PGS001227_WC#	matched	case-control	480	480	1.407	1.233	1.61	5.16e-07	ATTRaCT men
Heart failure	PGS000661_LDL	matched	case-control	480	480	1.137	1.002	1.292	0.0478	ATTRaCT men
Heart failure	PGS000891_LDL	matched	case-control	480	480	1.134	0.999	1.288	0.053	ATTRaCT men
Heart failure	PGS000660_HDL	matched	case-control	480	480	1.079	0.954	1.222	0.227	ATTRaCT men
Heart failure	PGS000686_HDL#	matched	case-control	480	480	0.892	0.786	1.012	0.0771	ATTRaCT men
Heart failure	PGS000659_TG	matched	case-control	480	480	1.07	0.944	1.214	0.292	ATTRaCT men
Heart failure	PGS000699_TG#	matched	case-control	480	480	1.084	0.953	1.233	0.222	ATTRaCT men
Heart failure	PGS000306_GLU#	matched	case-control	480	480	1.126	0.992	1.28	0.0667	ATTRaCT men
Heart failure	PGS000684_GLU#	matched	case-control	480	480	1.095	0.966	1.242	0.156	ATTRaCT men
Heart failure	PGS000685_HbA1c#	matched	case-control	480	480	1.093	0.96	1.245	0.179	ATTRaCT men
Heart failure	PGS001133_DBP#	matched	case-control	480	480	1.17	1.03	1.331	0.0164	ATTRaCT men
Heart failure	PGS000302_DBP#	matched	case-control	480	480	1.113	0.981	1.265	0.0978	ATTRaCT men
Heart failure	PGS000301_SBP#	matched	case-control	480	480	1.243	1.093	1.416	0.000992	ATTRaCT men
Heart failure	PGS001134_SBP#	matched	case-control	480	480	1.191	1.048	1.356	0.00771	ATTRaCT men
Coronary artery disease	GenMetS	matched	case-control	355	355	1.411	1.211	1.652	1.36e-05	ATTRaCT men
Coronary artery disease	PGS000828_WC#	matched	case-control	355	355	0.905	0.784	1.045	0.176	ATTRaCT men
Coronary artery disease	PGS001227_WC#	matched	case-control	355	355	0.941	0.813	1.088	0.414	ATTRaCT men
Coronary artery disease	PGS000661_LDL	matched	case-control	355	355	0.988	0.852	1.146	0.871	ATTRaCT men
Coronary artery disease	PGS000891_LDL	matched	case-control	355	355	1.062	0.917	1.232	0.422	ATTRaCT men
Coronary artery disease	PGS000660_HDL	matched	case-control	355	355	1.038	0.891	1.21	0.629	ATTRaCT men
Coronary artery disease	PGS000686_HDL#	matched	case-control	355	355	0.922	0.797	1.066	0.272	ATTRaCT men
Coronary artery disease	PGS000659_TG	matched	case-control	355	355	0.926	0.798	1.073	0.308	ATTRaCT men
Coronary artery disease	PGS000699_TG#	matched	case-control	355	355	0.861	0.745	0.995	0.0433	ATTRaCT men
Coronary artery disease	PGS000306_GLU#	matched	case-control	355	355	1.04	0.898	1.204	0.604	ATTRaCT men
Coronary artery disease	PGS000684_GLU#	matched	case-control	355	355	1.053	0.907	1.225	0.496	ATTRaCT men
Coronary artery disease	PGS000685_HbA1c#	matched	case-control	355	355	1.173	1.013	1.362	0.0343	ATTRaCT men
Coronary artery disease	PGS001133_DBP#	matched	case-control	355	355	0.991	0.853	1.151	0.904	ATTRaCT men
Coronary artery disease	PGS000302_DBP#	matched	case-control	355	355	0.938	0.81	1.085	0.389	ATTRaCT men
Coronary artery disease	PGS000301_SBP#	matched	case-control	355	355	0.978	0.844	1.132	0.761	ATTRaCT men
Coronary artery disease	PGS001134_SBP#	matched	case-control	355	355	1	0.861	1.161	0.996	ATTRaCT men
Myocardial infarction	GenMetS	matched	case-control	286	286	1.142	0.977	1.336	0.0967	ATTRaCT men
Myocardial infarction	PGS000828_WC#	matched	case-control	286	286	0.972	0.827	1.142	0.731	ATTRaCT men
Myocardial infarction	PGS001227_WC#	matched	case-control	286	286	1.058	0.901	1.244	0.489	ATTRaCT men
Myocardial infarction	PGS000661_LDL	matched	case-control	286	286	1.087	0.925	1.279	0.313	ATTRaCT men
Myocardial infarction	PGS000891_LDL	matched	case-control	286	286	1.128	0.962	1.326	0.141	ATTRaCT men
Myocardial infarction	PGS000660_HDL	matched	case-control	286	286	0.977	0.824	1.158	0.787	ATTRaCT men
Myocardial infarction	PGS000686_HDL#	matched	case-control	286	286	1.002	0.854	1.175	0.983	ATTRaCT men
Myocardial infarction	PGS000659_TG	matched	case-control	286	286	1.028	0.876	1.207	0.732	ATTRaCT men
Myocardial infarction	PGS000699_TG#	matched	case-control	286	286	0.949	0.803	1.12	0.535	ATTRaCT men
Myocardial infarction	PGS000306_GLU#	matched	case-control	286	286	1.09	0.926	1.285	0.299	ATTRaCT men
Myocardial infarction	PGS000684_GLU#	matched	case-control	286	286	0.975	0.821	1.158	0.773	ATTRaCT men
Myocardial infarction	PGS000685_HbA1c#	matched	case-control	286	286	1.013	0.865	1.188	0.869	ATTRaCT men
Myocardial infarction	PGS001133_DBP#	matched	case-control	286	286	0.963	0.817	1.136	0.658	ATTRaCT men
Myocardial infarction	PGS000302_DBP#	matched	case-control	286	286	0.903	0.765	1.064	0.224	ATTRaCT men
Myocardial infarction	PGS000301_SBP#	matched	case-control	286	286	0.996	0.842	1.179	0.967	ATTRaCT men
Myocardial infarction	PGS001134_SBP#	matched	case-control	286	286	0.957	0.812	1.127	0.595	ATTRaCT men
Hypertension	GenMetS	matched	case-control	602	602	1.012	0.9	1.139	0.84	ATTRaCT men
Hypertension	PGS000828_WC#	matched	case-control	602	602	0.969	0.864	1.086	0.591	ATTRaCT men
Hypertension	PGS001227_WC#	matched	case-control	602	602	1.056	0.944	1.183	0.34	ATTRaCT men
Hypertension	PGS000661_LDL	matched	case-control	602	602	1.013	0.906	1.134	0.819	ATTRaCT men
Hypertension	PGS000891_LDL	matched	case-control	602	602	0.937	0.838	1.049	0.259	ATTRaCT men
Hypertension	PGS000660_HDL	matched	case-control	602	602	0.971	0.867	1.087	0.606	ATTRaCT men
Hypertension	PGS000686_HDL#	matched	case-control	602	602	0.959	0.856	1.073	0.463	ATTRaCT men
Hypertension	PGS000659_TG	matched	case-control	602	602	0.93	0.829	1.042	0.212	ATTRaCT men
Hypertension	PGS000699_TG#	matched	case-control	602	602	0.891	0.796	0.997	0.0447	ATTRaCT men
Hypertension	PGS000306_GLU#	matched	case-control	602	602	1.045	0.933	1.171	0.447	ATTRaCT men
Hypertension	PGS000684_GLU#	matched	case-control	602	602	1.023	0.913	1.146	0.7	ATTRaCT men
Hypertension	PGS000685_HbA1c#	matched	case-control	602	602	1.001	0.895	1.121	0.984	ATTRaCT men
Hypertension	PGS001133_DBP#	matched	case-control	602	602	1.416	1.26	1.595	6.76e-09	ATTRaCT men
Hypertension	PGS000302_DBP#	matched	case-control	602	602	1.171	1.045	1.313	0.00669	ATTRaCT men
Hypertension	PGS000301_SBP#	matched	case-control	602	602	1.222	1.089	1.373	0.00067	ATTRaCT men
Hypertension	PGS001134_SBP#	matched	case-control	602	602	1.236	1.101	1.388	0.000341	ATTRaCT men
