disease	predictor	samples	test	case	control	OddsRatio	low	high	p-value	cohort
HF	PRS_Lind2019	matched	case-control	480	480	1.003	0.883	1.14	9.59e-01	ATTRaCT men
HF	PRS_Walree2022	matched	case-control	480	480	1.34	1.174	1.533	1.66e-05	ATTRaCT men
CAD	PRS_GenMetS	matched	case-control	355	355	1.411	1.211	1.652	1.36e-05	ATTRaCT men
CAD	PRS_PGS000828_WC1	matched	case-control	355	355	0.905	0.784	1.045	1.76e-01	ATTRaCT men
CAD	PRS_PGS001227_WC2	matched	case-control	355	355	0.941	0.813	1.088	4.14e-01	ATTRaCT men
CAD	PRS_PGS000661_LDL1	matched	case-control	355	355	0.988	0.852	1.146	8.71e-01	ATTRaCT men
CAD	PRS_PGS000891_LDL2	matched	case-control	355	355	1.062	0.917	1.232	4.22e-01	ATTRaCT men
CAD	PRS_PGS000660_HDL1	matched	case-control	355	355	1.038	0.891	1.21	6.29e-01	ATTRaCT men
CAD	PRS_PGS000686_HDL2	matched	case-control	355	355	0.922	0.797	1.066	2.72e-01	ATTRaCT men
CAD	PRS_PGS000659_TG1	matched	case-control	355	355	0.926	0.798	1.073	3.08e-01	ATTRaCT men
CAD	PRS_PGS000699_TG2	matched	case-control	355	355	0.861	0.745	0.995	4.33e-02	ATTRaCT men
CAD	PRS_PGS000306_GLU1	matched	case-control	355	355	1.04	0.898	1.204	6.04e-01	ATTRaCT men
CAD	PRS_PGS000684_GLU2	matched	case-control	355	355	1.053	0.907	1.225	4.96e-01	ATTRaCT men
CAD	PRS_PGS000685_HbA1c	matched	case-control	355	355	1.173	1.013	1.362	3.43e-02	ATTRaCT men
CAD	PRS_PGS001133_DBP1	matched	case-control	355	355	0.991	0.853	1.151	9.04e-01	ATTRaCT men
CAD	PRS_PGS000302_DBP2	matched	case-control	355	355	0.938	0.81	1.085	3.89e-01	ATTRaCT men
CAD	PRS_PGS000301_SBP1	matched	case-control	355	355	0.978	0.844	1.132	7.61e-01	ATTRaCT men
CAD	PRS_PGS001134_SBP2	matched	case-control	355	355	1	0.861	1.161	9.96e-01	ATTRaCT men
CAD	PRS_Lind2019	matched	case-control	355	355	0.97	0.835	1.126	6.91e-01	ATTRaCT men
CAD	PRS_Walree2022	matched	case-control	355	355	1.024	0.886	1.183	7.49e-01	ATTRaCT men
MI	PRS_GenMetS	matched	case-control	286	286	1.173	1.004	1.374	4.49e-02	ATTRaCT men
MI	PRS_PGS000828_WC1	matched	case-control	286	286	0.92	0.781	1.082	3.13e-01	ATTRaCT men
MI	PRS_PGS001227_WC2	matched	case-control	286	286	1.034	0.879	1.217	6.88e-01	ATTRaCT men
MI	PRS_PGS000661_LDL1	matched	case-control	286	286	1.056	0.896	1.247	5.14e-01	ATTRaCT men
MI	PRS_PGS000891_LDL2	matched	case-control	286	286	1.117	0.947	1.319	1.89e-01	ATTRaCT men
MI	PRS_PGS000660_HDL1	matched	case-control	286	286	1.041	0.878	1.235	6.4e-01	ATTRaCT men
MI	PRS_PGS000686_HDL2	matched	case-control	286	286	1.039	0.885	1.22	6.42e-01	ATTRaCT men
MI	PRS_PGS000659_TG1	matched	case-control	286	286	0.996	0.846	1.172	9.6e-01	ATTRaCT men
MI	PRS_PGS000699_TG2	matched	case-control	286	286	0.961	0.814	1.133	6.33e-01	ATTRaCT men
MI	PRS_PGS000306_GLU1	matched	case-control	286	286	1.062	0.901	1.253	4.72e-01	ATTRaCT men
MI	PRS_PGS000684_GLU2	matched	case-control	286	286	0.989	0.832	1.175	8.99e-01	ATTRaCT men
MI	PRS_PGS000685_HbA1c	matched	case-control	286	286	1.052	0.898	1.233	5.32e-01	ATTRaCT men
MI	PRS_PGS001133_DBP1	matched	case-control	286	286	0.969	0.822	1.141	7.03e-01	ATTRaCT men
MI	PRS_PGS000302_DBP2	matched	case-control	286	286	0.937	0.794	1.103	4.34e-01	ATTRaCT men
MI	PRS_PGS000301_SBP1	matched	case-control	286	286	0.999	0.845	1.181	9.89e-01	ATTRaCT men
MI	PRS_PGS001134_SBP2	matched	case-control	286	286	0.978	0.831	1.152	7.93e-01	ATTRaCT men
MI	PRS_Lind2019	matched	case-control	286	286	0.973	0.827	1.144	7.4e-01	ATTRaCT men
MI	PRS_Walree2022	matched	case-control	286	286	0.904	0.767	1.065	2.29e-01	ATTRaCT men
HTN	PRS_GenMetS	matched	case-control	602	602	1.012	0.9	1.139	8.4e-01	ATTRaCT men
HTN	PRS_PGS000828_WC1	matched	case-control	602	602	0.969	0.864	1.086	5.91e-01	ATTRaCT men
HTN	PRS_PGS001227_WC2	matched	case-control	602	602	1.056	0.944	1.183	3.4e-01	ATTRaCT men
HTN	PRS_PGS000661_LDL1	matched	case-control	602	602	1.013	0.906	1.134	8.19e-01	ATTRaCT men
HTN	PRS_PGS000891_LDL2	matched	case-control	602	602	0.937	0.838	1.049	2.59e-01	ATTRaCT men
HTN	PRS_PGS000660_HDL1	matched	case-control	602	602	0.971	0.867	1.087	6.06e-01	ATTRaCT men
HTN	PRS_PGS000686_HDL2	matched	case-control	602	602	0.959	0.856	1.073	4.63e-01	ATTRaCT men
HTN	PRS_PGS000659_TG1	matched	case-control	602	602	0.93	0.829	1.042	2.12e-01	ATTRaCT men
HTN	PRS_PGS000699_TG2	matched	case-control	602	602	0.891	0.796	0.997	4.47e-02	ATTRaCT men
HTN	PRS_PGS000306_GLU1	matched	case-control	602	602	1.045	0.933	1.171	4.47e-01	ATTRaCT men
HTN	PRS_PGS000684_GLU2	matched	case-control	602	602	1.023	0.913	1.146	7e-01	ATTRaCT men
HTN	PRS_PGS000685_HbA1c	matched	case-control	602	602	1.001	0.895	1.121	9.84e-01	ATTRaCT men
HTN	PRS_PGS001133_DBP1	matched	case-control	602	602	1.416	1.26	1.595	6.76e-09	ATTRaCT men
HTN	PRS_PGS000302_DBP2	matched	case-control	602	602	1.171	1.045	1.313	6.69e-03	ATTRaCT men
HTN	PRS_PGS000301_SBP1	matched	case-control	602	602	1.222	1.089	1.373	6.7e-04	ATTRaCT men
HTN	PRS_PGS001134_SBP2	matched	case-control	602	602	1.236	1.101	1.388	3.41e-04	ATTRaCT men
HTN	PRS_Lind2019	matched	case-control	602	602	0.999	0.892	1.12	9.92e-01	ATTRaCT men
HTN	PRS_Walree2022	matched	case-control	602	602	1.095	0.977	1.228	1.19e-01	ATTRaCT men
COPD	PRS_GenMetS	matched	case-control	104	104	1.179	0.894	1.565	2.47e-01	ATTRaCT men
COPD	PRS_PGS000828_WC1	matched	case-control	104	104	1.006	0.783	1.293	9.63e-01	ATTRaCT men
COPD	PRS_PGS001227_WC2	matched	case-control	104	104	1.311	0.988	1.757	6.42e-02	ATTRaCT men
COPD	PRS_PGS000661_LDL1	matched	case-control	104	104	0.953	0.712	1.272	7.44e-01	ATTRaCT men
COPD	PRS_PGS000891_LDL2	matched	case-control	104	104	1.175	0.866	1.609	3.03e-01	ATTRaCT men
COPD	PRS_PGS000660_HDL1	matched	case-control	104	104	1.28	0.989	1.672	6.37e-02	ATTRaCT men
COPD	PRS_PGS000686_HDL2	matched	case-control	104	104	1.168	0.902	1.522	2.41e-01	ATTRaCT men
COPD	PRS_PGS000659_TG1	matched	case-control	104	104	0.864	0.653	1.14	3.05e-01	ATTRaCT men
COPD	PRS_PGS000699_TG2	matched	case-control	104	104	0.982	0.752	1.282	8.95e-01	ATTRaCT men
COPD	PRS_PGS000306_GLU1	matched	case-control	104	104	1.14	0.87	1.501	3.44e-01	ATTRaCT men
COPD	PRS_PGS000684_GLU2	matched	case-control	104	104	0.85	0.633	1.136	2.75e-01	ATTRaCT men
COPD	PRS_PGS000685_HbA1c	matched	case-control	104	104	1.06	0.801	1.404	6.85e-01	ATTRaCT men
COPD	PRS_PGS001133_DBP1	matched	case-control	104	104	1.612	1.231	2.145	7.04e-04	ATTRaCT men
COPD	PRS_PGS000302_DBP2	matched	case-control	104	104	0.975	0.747	1.273	8.54e-01	ATTRaCT men
COPD	PRS_PGS000301_SBP1	matched	case-control	104	104	0.925	0.7	1.219	5.82e-01	ATTRaCT men
COPD	PRS_PGS001134_SBP2	matched	case-control	104	104	1.255	0.965	1.643	9.32e-02	ATTRaCT men
COPD	PRS_Lind2019	matched	case-control	104	104	1.157	0.872	1.543	3.13e-01	ATTRaCT men
COPD	PRS_Walree2022	matched	case-control	104	104	1.137	0.872	1.491	3.45e-01	ATTRaCT men
DEPRESSION	PRS_GenMetS	matched	case-control	8	8	1.524	0.599	4.361	3.9e-01	ATTRaCT men
DEPRESSION	PRS_PGS000828_WC1	matched	case-control	8	8	0.921	0.216	3.796	9.06e-01	ATTRaCT men
DEPRESSION	PRS_PGS001227_WC2	matched	case-control	8	8	1.739	0.658	5.415	2.86e-01	ATTRaCT men
DEPRESSION	PRS_PGS000661_LDL1	matched	case-control	8	8	3.896	1.088	36.494	1.06e-01	ATTRaCT men
DEPRESSION	PRS_PGS000891_LDL2	matched	case-control	8	8	2.18	0.961	7.515	1.19e-01	ATTRaCT men
DEPRESSION	PRS_PGS000660_HDL1	matched	case-control	8	8	1.337	0.414	4.936	6.28e-01	ATTRaCT men
DEPRESSION	PRS_PGS000686_HDL2	matched	case-control	8	8	0.625	0.179	1.795	4.01e-01	ATTRaCT men
DEPRESSION	PRS_PGS000659_TG1	matched	case-control	8	8	1.699	0.416	8.391	4.7e-01	ATTRaCT men
DEPRESSION	PRS_PGS000699_TG2	matched	case-control	8	8	0.665	0.127	3.024	5.99e-01	ATTRaCT men
DEPRESSION	PRS_PGS000306_GLU1	matched	case-control	8	8	1.058	0.406	2.808	9.06e-01	ATTRaCT men
DEPRESSION	PRS_PGS000684_GLU2	matched	case-control	8	8	1.404	0.48	4.648	5.4e-01	ATTRaCT men
DEPRESSION	PRS_PGS000685_HbA1c	matched	case-control	8	8	1	0.409	2.445	9.99e-01	ATTRaCT men
DEPRESSION	PRS_PGS001133_DBP1	matched	case-control	8	8	1.124	0.266	4.915	8.71e-01	ATTRaCT men
DEPRESSION	PRS_PGS000302_DBP2	matched	case-control	8	8	2.013	0.572	10.001	3.1e-01	ATTRaCT men
DEPRESSION	PRS_PGS000301_SBP1	matched	case-control	8	8	1.044	0.232	4.751	9.53e-01	ATTRaCT men
DEPRESSION	PRS_PGS001134_SBP2	matched	case-control	8	8	1.052	0.41	2.776	9.11e-01	ATTRaCT men
DEPRESSION	PRS_Lind2019	matched	case-control	8	8	1.075	0.415	2.904	8.76e-01	ATTRaCT men
DEPRESSION	PRS_Walree2022	matched	case-control	8	8	3.274	0.822	25.812	1.5e-01	ATTRaCT men
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
