disease	predictor	samples	test	case	control	OddsRatio	low	high	p-value	cohort
MI	PRS_PGS001227_WC2	matched	case-control	807	807	1.064	0.964	1.176	2.18e-01	UKB ASN men
MI	PRS_PGS000661_LDL1	matched	case-control	807	807	1.091	0.988	1.206	8.64e-02	UKB ASN men
MI	PRS_PGS000891_LDL2	matched	case-control	807	807	1.098	0.993	1.214	6.78e-02	UKB ASN men
MI	PRS_PGS000660_HDL1	matched	case-control	807	807	1.159	1.048	1.282	4.13e-03	UKB ASN men
MI	PRS_PGS000686_HDL2	matched	case-control	807	807	0.898	0.816	0.988	2.72e-02	UKB ASN men
MI	PRS_PGS000659_TG1	matched	case-control	807	807	0.887	0.805	0.978	1.59e-02	UKB ASN men
MI	PRS_PGS000699_TG2	matched	case-control	807	807	0.965	0.873	1.066	4.86e-01	UKB ASN men
MI	PRS_PGS000306_GLU1	matched	case-control	807	807	1.128	1.024	1.245	1.52e-02	UKB ASN men
MI	PRS_PGS000684_GLU2	matched	case-control	807	807	1.126	1.02	1.244	1.9e-02	UKB ASN men
MI	PRS_PGS000685_HbA1c	matched	case-control	807	807	1.144	1.038	1.262	7.09e-03	UKB ASN men
MI	PRS_PGS001133_DBP1	matched	case-control	807	807	1.028	0.933	1.133	5.76e-01	UKB ASN men
MI	PRS_PGS000302_DBP2	matched	case-control	807	807	1.138	1.032	1.255	9.94e-03	UKB ASN men
MI	PRS_PGS000301_SBP1	matched	case-control	807	807	1.239	1.124	1.367	1.71e-05	UKB ASN men
MI	PRS_PGS001134_SBP2	matched	case-control	807	807	1.132	1.026	1.25	1.36e-02	UKB ASN men
MI	PRS_Lind2019	matched	case-control	807	807	0.924	0.838	1.018	1.1e-01	UKB ASN men
MI	PRS_Walree2022	matched	case-control	807	807	1.118	1.013	1.234	2.75e-02	UKB ASN men
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
